frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,frame.len
15.023360000,10.0.0.2,10.0.0.1,34292,80,0x0018,138
15.023391000,10.0.0.1,10.0.0.2,80,34292,0x0010,66
15.024355000,10.0.0.1,10.0.0.2,80,34292,0x0018,223
15.024404000,10.0.0.1,10.0.0.2,80,34292,0x0010,1514
15.024442000,10.0.0.1,10.0.0.2,80,34292,0x0019,192
15.024762000,10.0.0.2,10.0.0.1,34292,80,0x0010,66
15.026270000,10.0.0.2,10.0.0.1,34292,80,0x0011,66
15.026297000,10.0.0.1,10.0.0.2,80,34292,0x0010,66
15.045013000,10.0.0.2,10.0.0.1,34296,80,0x0002,74
15.045119000,10.0.0.1,10.0.0.2,80,34296,0x0012,74
15.045167000,10.0.0.2,10.0.0.1,34296,80,0x0010,66
15.046161000,10.0.0.2,10.0.0.1,34296,80,0x0018,138
15.046186000,10.0.0.1,10.0.0.2,80,34296,0x0010,66
15.048667000,10.0.0.1,10.0.0.2,80,34296,0x0018,223
15.048749000,10.0.0.2,10.0.0.1,34296,80,0x0010,66
15.048795000,10.0.0.1,10.0.0.2,80,34296,0x0018,1640
15.048807000,10.0.0.2,10.0.0.1,34296,80,0x0010,66
15.048870000,10.0.0.1,10.0.0.2,80,34296,0x0011,66
15.052794000,10.0.0.2,10.0.0.1,34296,80,0x0011,66
15.052823000,10.0.0.1,10.0.0.2,80,34296,0x0010,66
15.076333000,10.0.0.2,10.0.0.1,34308,80,0x0002,74
15.076369000,10.0.0.1,10.0.0.2,80,34308,0x0012,74
15.076399000,10.0.0.2,10.0.0.1,34308,80,0x0010,66
15.076995000,10.0.0.2,10.0.0.1,34308,80,0x0018,138
15.077016000,10.0.0.1,10.0.0.2,80,34308,0x0010,66
15.083856000,10.0.0.1,10.0.0.2,80,34308,0x0018,223
15.083909000,10.0.0.2,10.0.0.1,34308,80,0x0010,66
15.084013000,10.0.0.1,10.0.0.2,80,34308,0x0018,1640
15.084029000,10.0.0.2,10.0.0.1,34308,80,0x0010,66
15.084576000,10.0.0.2,10.0.0.1,34308,80,0x0011,66
15.086770000,10.0.0.1,10.0.0.2,80,34308,0x0011,66
15.086831000,10.0.0.2,10.0.0.1,34308,80,0x0010,66
15.100179000,10.0.0.2,10.0.0.1,34314,80,0x0002,74
15.100209000,10.0.0.1,10.0.0.2,80,34314,0x0012,74
15.100236000,10.0.0.2,10.0.0.1,34314,80,0x0010,66
15.106338000,10.0.0.2,10.0.0.1,34314,80,0x0018,138
15.106372000,10.0.0.1,10.0.0.2,80,34314,0x0010,66
15.109719000,10.0.0.1,10.0.0.2,80,34314,0x0018,223
15.109840000,10.0.0.2,10.0.0.1,34314,80,0x0010,66
15.109917000,10.0.0.1,10.0.0.2,80,34314,0x0018,1640
15.109930000,10.0.0.2,10.0.0.1,34314,80,0x0010,66
15.110017000,10.0.0.1,10.0.0.2,80,34314,0x0011,66
15.112947000,10.0.0.2,10.0.0.1,34314,80,0x0011,66
15.113007000,10.0.0.1,10.0.0.2,80,34314,0x0010,66
15.137455000,10.0.0.2,10.0.0.1,34320,80,0x0002,74
15.137507000,10.0.0.1,10.0.0.2,80,34320,0x0012,74
15.137562000,10.0.0.2,10.0.0.1,34320,80,0x0010,66
15.139040000,10.0.0.2,10.0.0.1,34320,80,0x0018,138
15.139083000,10.0.0.1,10.0.0.2,80,34320,0x0010,66
15.146223000,10.0.0.1,10.0.0.2,80,34320,0x0018,223
15.146375000,10.0.0.2,10.0.0.1,34320,80,0x0010,66
15.146433000,10.0.0.1,10.0.0.2,80,34320,0x0018,1640
15.146445000,10.0.0.2,10.0.0.1,34320,80,0x0010,66
15.146503000,10.0.0.1,10.0.0.2,80,34320,0x0011,66
15.149465000,10.0.0.2,10.0.0.1,34320,80,0x0011,66
15.149494000,10.0.0.1,10.0.0.2,80,34320,0x0010,66
15.165600000,10.0.0.2,10.0.0.1,34324,80,0x0002,74
15.165627000,10.0.0.1,10.0.0.2,80,34324,0x0012,74
15.165656000,10.0.0.2,10.0.0.1,34324,80,0x0010,66
15.168384000,10.0.0.2,10.0.0.1,34324,80,0x0018,138
15.168407000,10.0.0.1,10.0.0.2,80,34324,0x0010,66
15.173301000,10.0.0.1,10.0.0.2,80,34324,0x0018,223
15.173369000,10.0.0.2,10.0.0.1,34324,80,0x0010,66
15.173632000,10.0.0.1,10.0.0.2,80,34324,0x0018,1640
15.173649000,10.0.0.2,10.0.0.1,34324,80,0x0010,66
15.173699000,10.0.0.1,10.0.0.2,80,34324,0x0011,66
15.175615000,10.0.0.2,10.0.0.1,34324,80,0x0011,66
15.175659000,10.0.0.1,10.0.0.2,80,34324,0x0010,66
15.195368000,10.0.0.2,10.0.0.1,34330,80,0x0002,74
15.195394000,10.0.0.1,10.0.0.2,80,34330,0x0012,74
15.195424000,10.0.0.2,10.0.0.1,34330,80,0x0010,66
15.202236000,10.0.0.2,10.0.0.1,34330,80,0x0018,138
15.202264000,10.0.0.1,10.0.0.2,80,34330,0x0010,66
15.203621000,10.0.0.1,10.0.0.2,80,34330,0x0018,223
15.203691000,10.0.0.1,10.0.0.2,80,34330,0x0010,1514
15.203738000,10.0.0.1,10.0.0.2,80,34330,0x0019,192
15.204003000,10.0.0.2,10.0.0.1,34330,80,0x0010,66
15.204462000,10.0.0.2,10.0.0.1,34330,80,0x0011,66
15.204482000,10.0.0.1,10.0.0.2,80,34330,0x0010,66
15.229727000,10.0.0.2,10.0.0.1,51562,80,0x0002,74
15.229767000,10.0.0.1,10.0.0.2,80,51562,0x0012,74
